"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","As a user I can't login without path","ERROR","2023-10-18T18:28:24.353608+07:00[Asia/Jakarta]","0.0","0.07"
"Login User","As a user I can't login if I don't fill in the login request","ERROR","2023-10-18T18:28:24.450744+07:00[Asia/Jakarta]","0.0","0.06"
"Login User","As a user I can't login if I don't fill in the email request","PENDING","2023-10-18T18:28:24.584949+07:00[Asia/Jakarta]","0.0","0.06"
"Login User","As a user I can't login if I don't fill in the password request","PENDING","2023-10-18T18:28:24.661553+07:00[Asia/Jakarta]","0.0","0.07"
"Login User","As a user I can't login with an invalid email","ERROR","2023-10-18T18:28:24.762693+07:00[Asia/Jakarta]","0.0","0.06"
"Login User","As a user I can't login with an invalid password","ERROR","2023-10-18T18:28:24.838869+07:00[Asia/Jakarta]","0.0","0.07"
"Register User","As a user I can login with a valid credentials","PENDING","2023-10-18T18:28:24.946284+07:00[Asia/Jakarta]","0.0","0.05"
"Register User","As a user I can't login without path","PENDING","2023-10-18T18:28:25.009873+07:00[Asia/Jakarta]","0.0","0.02"
"Register User","As a user I can't login if I don't fill in the login request","PENDING","2023-10-18T18:28:25.04405+07:00[Asia/Jakarta]","0.0","0.02"
"Register User","As a user I can't login with an invalid username","PENDING","2023-10-18T18:28:25.082969+07:00[Asia/Jakarta]","0.0","0.02"
"Register User","As a user I can't login with an invalid password","PENDING","2023-10-18T18:28:25.122314+07:00[Asia/Jakarta]","0.0","0.03"
"Get All Products","As a user I can get all product with valid path","ERROR","2023-10-18T18:28:25.164221+07:00[Asia/Jakarta]","0.0","0.08"
"Get All Products","As a user I can't get all product without path","ERROR","2023-10-18T18:28:25.259198+07:00[Asia/Jakarta]","0.0","0.06"
